<http://data.doremus.org/performance/fa7f8e8f-bd42-3599-a7a9-8f5ec0c3f99c>;1036281.ttl;Nouveaux mondes. De la Parra / Galliano;13/06/2015;
;;;;
<http://data.doremus.org/performance/5070f1b6-d270-3d0e-b1a4-2904d29e7225>;13396.ttl;Royal Concertgebouw Orchestra Amsterdam - Mariss Jansons - Truls MÃ¸rk ;30/03/2014;SimilaritÃ© :0.40650000000000003
<http://data.doremus.org/performance/114d78db-7ee5-3616-a378-c233816a524d>;1017935.ttl;John Coltrane, a love supreme revisited;30/03/2014;
;;;;
<http://data.doremus.org/performance/4d16d019-333c-3387-bb89-6a43b2e11e70>;14162.ttl;Orchestre de Paris - David Zinman - Gautier CapuÃ§on;20/11/2014;SimilaritÃ© :0.4475
<http://data.doremus.org/performance/7c56f370-ea65-37b7-b5e6-d6f637f4008f>;1029519.ttl;Concert Ã©ducatif scolaire. L'HÃ©roÃ¯que;20/11/2014;
;;;;
<http://data.doremus.org/performance/51a64c1d-2daa-3e61-8fe9-66f37106f3d8>;13386.ttl;Passion selon saint Jean - Bach Collegium Japan - Masaaki Suzuki;19/03/2014;SimilaritÃ© :0.4595
<http://data.doremus.org/performance/2e72f61c-847d-3138-9dec-5c8f3fc9dd0e>;1015034.ttl;Johann Sebastian Bach. Les TempÃ©raments;19/03/2014;
;;;;
<http://data.doremus.org/performance/51a64c1d-2daa-3e61-8fe9-66f37106f3d8>;13386.ttl;Passion selon saint Jean - Bach Collegium Japan - Masaaki Suzuki;19/03/2014;SimilaritÃ© :0.4595
<http://data.doremus.org/performance/7d4d8393-c5a5-39bb-a681-b3f011be5207>;1015033.ttl;Johann Sebastian Bach. Les TempÃ©raments;19/03/2014;
;;;;
<http://data.doremus.org/performance/8862bd0c-1419-30b2-b602-f6b7f12d178b>;13238.ttl;Univers parallÃ¨les;18/06/2014;SimilaritÃ© :0.559
<http://data.doremus.org/performance/ac1c38a9-a5e9-3830-bc37-ff4455897231>;1019812.ttl;Visions du monde. Univers parallÃ¨les : rencontre;18/06/2014;
;;;;
<http://data.doremus.org/performance/b59ed5e9-ee38-3e04-bae2-db203f678894>;13510.ttl;Andreas Staier;12/03/2014;SimilaritÃ© :0.4575
<http://data.doremus.org/performance/94006dc3-70f2-348e-8686-4d2eeb5e0742>;1014839.ttl;Johann Sebastian Bach. Les TempÃ©raments;12/03/2014;
;;;;
<http://data.doremus.org/performance/b59ed5e9-ee38-3e04-bae2-db203f678894>;13510.ttl;Andreas Staier;12/03/2014;SimilaritÃ© :0.4575
