<http://data.doremus.org/performance/aa34ceea-8684-3d9f-a068-47d4cfefbfd9>;1066233.ttl;Jamaican Revue. Brigadier Jerry;21/04/2017;
;;;;
<http://data.doremus.org/performance/22624565-8d57-34f2-827e-8fa13dcf94dd>;16688.ttl;Les Dissonances;30/01/2017;SimilaritÃ© :0.7005
<http://data.doremus.org/performance/7966c253-0cd2-39a7-bd27-21a34e5a75fa>;1062228.ttl;Les Dissonances, David Grimal;30/01/2017;
;;;;
<http://data.doremus.org/performance/f915a9d1-3908-3c32-94b9-bd1a9b1cf170>;16640.ttl;Orchestre de Paris;22/12/2016;SimilaritÃ© :0.746
<http://data.doremus.org/performance/0f1a0668-02e0-366c-9414-62821d3d9e63>;1059697.ttl;Orchestre de Paris. Le Paradis et la PÃ©ri;22/12/2016;
;;;;
<http://data.doremus.org/performance/1560979c-7eaf-308b-8395-563026cb7d6c>;18855.ttl;Gregory Porter;05/09/2017;SimilaritÃ© :0.6325000000000001
<http://data.doremus.org/performance/52ef5cae-8346-3273-8898-ef6b9b9c0662>;1071729.ttl;Jazz Ã  la Villette : Gregory Porter;05/09/2017;
;;;;
<http://data.doremus.org/performance/471c24ab-d939-36a7-b3ae-78e791b1ef13>;18867.ttl;Omer Avital Quintet / Laurent de Wilde & Ray Lema;08/09/2017;SimilaritÃ© :0.69
<http://data.doremus.org/performance/0ff96a98-5228-302a-93b9-2eda72a9edde>;1071742.ttl;Jazz Ã  la Villette : Laurent de Wilde et Ray Lema;08/09/2017;
;;;;
<http://data.doremus.org/performance/d72a8d8a-5f8e-323e-b3c3-5a5b6f009a2c>;18860.ttl;Mulatu Astatke & friends;13/09/2017;SimilaritÃ© :0.655
<http://data.doremus.org/performance/012f3c51-f4f4-3ad6-b4f5-3cb54e9133a5>;1071864.ttl;Jazz Ã  la Villette : Mulatu Astatke and friends;13/09/2017;
;;;;
<http://data.doremus.org/performance/d2c6f804-ec70-3ecb-a029-482b94bd0145>;16697.ttl;Chamber Orchestra of Europe;07/02/2017;SimilaritÃ© :0.7484999999999999
<http://data.doremus.org/performance/7ea40df2-546d-330c-b97a-f47fb9c82728>;1062702.ttl;Chamber Orchestra of Europe, Yannick NÃ©zet-SÃ©guin;07/02/2017;
;;;;
<http://data.doremus.org/performance/55d36769-3ed2-3b18-b134-66af198cae03>;17765.ttl;Staatskapelle Berlin / Barenboim;10/09/2017;SimilaritÃ© :0.7925
<http://data.doremus.org/performance/d456a662-0a19-3d43-9bb6-d362186eb4d9>;1069796.ttl;Staatskapelle Berlin, Daniel Barenboim. Bruckner;10/09/2017;
;;;;
<http://data.doremus.org/performance/e67a533b-aa28-3962-880f-2ffb95c62543>;16657.ttl;Staatskapelle Berlin / Daniel Barenboim;06/01/2017;SimilaritÃ© :0.8885
<http://data.doremus.org/performance/39d7e56d-baef-3846-b846-99492c03cef5>;1061039.ttl;Staatskapelle Berlin, Daniel Barenboim. Bruckner;06/01/2017;
;;;;
<http://data.doremus.org/performance/448c6edc-ee4f-3ebd-a651-35e2d8201d38>;17960.ttl;Bach en sept paroles - V - Des profondeurs;06/02/2018;SimilaritÃ© :0.7
<http://data.doremus.org/performance/c76e225c-3d2e-3801-8384-240860fb7227>;1076345.ttl;Bach en sept paroles : V : des profondeurs. Pygmalion - RaphaÃ«l Pichon;06/02/2018;
;;;;
<http://data.doremus.org/performance/68d71895-063d-31ba-9b60-1e75c8aa239d>;16794.ttl;Orchestre de Paris;24/05/2017;SimilaritÃ© :0.7215
<http://data.doremus.org/performance/cd7aa126-a4f0-3dd2-ac5d-380c757da3da>;1067466.ttl;Orchestre de Paris. Daniel Harding;24/05/2017;
;;;;
<http://data.doremus.org/performance/2590cedc-15ce-3115-bd80-7dbea7789ef1>;10029.ttl;Kind of Blue, 50 Years On;27/10/2009;SimilaritÃ© :0.673
<http://data.doremus.org/performance/555d2ff4-ca4d-35bc-b379-cd57bff31c50>;0925182.ttl;We Want Miles. Kind of Blue, 50 Years On;27/10/2009;
;;;;
<http://data.doremus.org/performance/6b99c631-5bd2-38d6-8d64-e3fdef8ee727>;10877.ttl;Orchestre Philharmonique de Radio France - Alan Gilbert;27/11/2010;SimilaritÃ© :0.8925
